date,precipitation
1965-02-01,52.63
1965-01-01,54.17
1964-12-01,53.58
1964-11-01,58.05
1964-10-01,56.5
1964-09-01,69.44
1964-08-01,65.24
1964-07-01,72.98
1964-06-01,60.85
1964-05-01,76.41
1964-04-01,62.01
1964-03-01,62.35
1964-02-01,53.55
1964-01-01,53.99
1963-12-01,53.99
1963-11-01,57.74
1963-10-01,58.48
1963-09-01,70.33
1963-08-01,65.54
1963-07-01,72.95
1963-06-01,61.57
1963-05-01,76.56
1963-04-01,62.32
1963-03-01,62.46
1963-02-01,55.14
1963-01-01,55.11
1962-12-01,53.74
1962-11-01,56.12
1962-10-01,56.75
1962-09-01,67.65
1962-08-01,65.09
1962-07-01,72.21
1962-06-01,61.42
1962-05-01,79.27
1962-04-01,63.48
1962-03-01,64.57
1962-02-01,53.85
1962-01-01,54.59
1961-12-01,54.07
1961-11-01,56.32
1961-10-01,58.65
1961-09-01,68.8
1961-08-01,65.47
1961-07-01,71.85
1961-06-01,60.49
1961-05-01,79.93
1961-04-01,61.97
1961-03-01,64.03
1961-02-01,53.62
1961-01-01,56.48
1960-12-01,55.74
1960-11-01,56.28
1960-10-01,58.7
1960-09-01,71.77
1960-08-01,66.64
1960-07-01,70.4
1960-06-01,60.71
1960-05-01,78.25
1960-04-01,61.85
1960-03-01,65.17
1960-02-01,53.1
1960-01-01,55.94
1959-12-01,54.56
1959-11-01,56.28
1959-10-01,57.66
1959-09-01,71.89
1959-08-01,67.97
1959-07-01,72.42
1959-06-01,62.53
1959-05-01,79.99
1959-04-01,61.89
1959-03-01,65.42
1959-02-01,52.08
1959-01-01,55.47
1958-12-01,56.01
1958-11-01,55.53
1958-10-01,59.04
1958-09-01,71.54
1958-08-01,67.92
1958-07-01,73.12
1958-06-01,64.33
1958-05-01,82.79
1958-04-01,63.18
1958-03-01,67.44
1958-02-01,52.84
1958-01-01,56.98
1957-12-01,55.34
1957-11-01,56.04
1957-10-01,59.84
1957-09-01,70.13
1957-08-01,68.28
1957-07-01,76.36
1957-06-01,62.87
1957-05-01,83.35
1957-04-01,61.93
1957-03-01,69.52
1957-02-01,52.57
1957-01-01,57.03
1956-12-01,54.71
1956-11-01,57.62
1956-10-01,62.01
1956-09-01,71.9
1956-08-01,65.14
1956-07-01,74.61
1956-06-01,64.19
1956-05-01,81.64
1956-04-01,61.52
1956-03-01,69.12
1956-02-01,52.9
1956-01-01,57.81
1955-12-01,54.78
1955-11-01,57.94
1955-10-01,61.07
1955-09-01,74.47
1955-08-01,62.84
1955-07-01,76.95
1955-06-01,66.52
1955-05-01,82.92
1955-04-01,61.41
1955-03-01,69.01
1955-02-01,53.72
1955-01-01,59.02
1954-12-01,54.62
1954-11-01,59.22
1954-10-01,50.88
1954-09-01,74.05
1954-08-01,61.07
1954-07-01,80.61
1954-06-01,63.42
1954-05-01,86.88
1954-04-01,59.53
1954-03-01,68.52
1954-02-01,53.34
1954-01-01,59.43
1953-12-01,55.09
1953-11-01,60.37
1953-10-01,53.12
1953-09-01,74.13
1953-08-01,58.27
1953-07-01,81.19
1953-06-01,63.01
1953-05-01,83.61
1953-04-01,59.36
1953-03-01,68.61
1953-02-01,54.48
1953-01-01,60.51
1952-12-01,56.16
1952-11-01,58.19
1952-10-01,55.88
1952-09-01,75.21
1952-08-01,58.08
1952-07-01,82.06
1952-06-01,65.44
1952-05-01,84.4
1952-04-01,59.42
1952-03-01,68.75
1952-02-01,55.45
1952-01-01,60.01
1951-12-01,52.81
1951-11-01,57.22
1951-10-01,55.49
1951-09-01,77.99
1951-08-01,58.52
1951-07-01,81.42
1951-06-01,63.65
1951-05-01,88.06
1951-04-01,55.62
1951-03-01,66.52
1951-02-01,56.32
1951-01-01,59.98
1950-12-01,54.88
1950-11-01,54.45
1950-10-01,53.45
1950-09-01,83.07
1950-08-01,56.31
1950-07-01,78.51
1950-06-01,63.61
1950-05-01,93.72
1950-04-01,55.12
1950-03-01,66.8
1950-02-01,54.99
1950-01-01,56.93
1949-12-01,52.15
1949-11-01,55.03
1949-10-01,52
1949-09-01,82.36
1949-08-01,49.25
1949-07-01,80.05
1949-06-01,69.02
1949-05-01,101.39
1949-04-01,57.27
1949-03-01,67.14
1949-02-01,53.09
1949-01-01,55.79
1948-12-01,52.58
1948-11-01,52.42
1948-10-01,51.28
1948-09-01,74.34
1948-08-01,49.32
1948-07-01,82.91
1948-06-01,67.87
1948-05-01,105.27
1948-04-01,57.74
1948-03-01,68.06
1948-02-01,51.69
1948-01-01,57.35
1947-12-01,53.48
1947-11-01,54.93
1947-10-01,53.39
1947-09-01,78.92
1947-08-01,48.02
1947-07-01,80.66
1947-06-01,62.39
1947-05-01,107.53
1947-04-01,55.81
1947-03-01,70.43
1947-02-01,54.39
1947-01-01,52.81
1946-12-01,53.88
1946-11-01,56.24
1946-10-01,49.44
1946-09-01,79.67
1946-08-01,49.27
1946-07-01,80.81
1946-06-01,64.72
1946-05-01,109.04
1946-04-01,60.66
1946-03-01,75.66
1946-02-01,53.92
1946-01-01,47.2
1945-12-01,55.59
1945-11-01,56.46
1945-10-01,48.15
1945-09-01,71.48
1945-08-01,49.29
1945-07-01,75.49
1945-06-01,62.33
1945-05-01,103.86
1945-04-01,57.46
1945-03-01,70.19
1945-02-01,54.8
1945-01-01,48.19
1944-12-01,53.05
1944-11-01,58.75
1944-10-01,54.3
1944-09-01,72.98
1944-08-01,48.33
1944-07-01,73.03
1944-06-01,55.67
1944-05-01,98.18
1944-04-01,53.25
1944-03-01,68.3
1944-02-01,53.35
1944-01-01,52.85
1943-12-01,60.56
1943-11-01,62.36
1943-10-01,49.5
1943-09-01,82.42
1943-08-01,48.16
1943-07-01,70.32
1943-06-01,57.74
1943-05-01,96.92
1943-04-01,52.58
1943-03-01,64.88
1943-02-01,54.26
1943-01-01,49.24
1942-12-01,48.17
1942-11-01,58.48
1942-10-01,47.23
1942-09-01,76.63
1942-08-01,53.02
1942-07-01,60.4
1942-06-01,63.92
1942-05-01,69
1942-04-01,54.83
1942-03-01,51.8
1942-02-01,57.52
1942-01-01,52.23
1941-12-01,50.53
1941-11-01,60.37
1941-10-01,26.3
1941-09-01,102.35
1941-08-01,57.6
1941-07-01,57.8
1941-06-01,59.97
1941-05-01,74.07
1941-04-01,58.13
1941-03-01,56.8
1941-02-01,66.33
1941-01-01,45.77
1940-12-01,34.45
1940-11-01,33.4
1940-10-01,7.1
1940-09-01,102.1
1940-08-01,44.35
1940-07-01,51.25
1940-06-01,46.9
1940-05-01,49.4
1940-04-01,61.75
1940-03-01,61.05
1940-02-01,82.4
1940-01-01,44.45
1939-12-01,34.45
1939-11-01,33.4
1939-10-01,7.1
1939-09-01,102.1
1939-08-01,37.1
1939-07-01,63.2
1939-06-01,42.1
1939-05-01,72.3
1939-04-01,33.3
1939-03-01,41.7
1939-02-01,76.6
1939-01-01,40.4
